Project Code,Title,Commitment in U.A,Country,Starting Date,Status,Source of Financing,Sector,Sovereign
P-BF-EBZ-001,"Burkina Faso - Feasibility and design study of storm water drainage and solid waste management systems in Ouagadougou
","565,170.70",Burkina Faso,29 Apr 2008,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-BF-EAZ-001,Burkina Faso - Capacity building for decentralized integrated water resources management (IWRM),"264,098.46",Burkina Faso,25 Apr 2008,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-ET-BB0-001,Ethiopia - The Derba Midroc Cement Plan Project,"38,245,970.27",Ethiopia,16 Apr 2008,Completion,African Development Bank,"Industry, Minning & Quarrying",Non Sovereign
P-SC-EA0-002,Seychelles Water Supply Development Plan 2008-2030,"655,748.54",Seychelles,09 Apr 2008,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-Z1-KF0-011,Multinational - Support to the African Capacity Building Foundation,"10,290,000.00",Multinational,19 Mar 2008,Completion,African Development Fund,Multi-Sector,Sovereign
P-Z1-D00-015,ETUDES DE BASE PONT ROSSO (FLEUVE SENEGAL),"651,856.49",Multinational,17 Mar 2008,Cancelled,,Transport,Sovereign
,,,,,,,,
P-Z1-HAA-016,Multinational - Third Line of Credit to the Eastern and Southern African Trade and development Bank (PTA Bank),"37,118,994.83",Multinational,12 Mar 2008,Completion,African Development Bank,Finance,Sovereign
P-Z1-EAZ-014,Multinational - Lake Victoria Region Water and Sanitation Initiative project,"875,046.22",Multinational,03 Mar 2008,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-CD-HA0-001,ADVANS BANQUE (CONGO),"610,389.61","Congo, the Democratic Republic of the",04 Feb 2008,Completion,Fund for African Private Sector Assistance,Finance,Sovereign
P-Z1-HAA-013,"Banque ouest africaine de développement (BOAD), assitance technique, FAPA","621,219.23",Multinational,04 Feb 2008,Completion,Fund for African Private Sector Assistance,Finance,Sovereign
P-BW-KZ0-002,Institutionnal Strengthnening Local Authorities for Effective Service Delivery,"283,594.67",Botswana,30 Jan 2008,Completion,,Multi-Sector,Sovereign
P-Z1-HAA-012,Multinational - Third Line of Credit to the West African Development Bank (BOAD),"33,903,189.44",Multinational,30 Jan 2008,Completion,African Development Bank,Finance,Non Sovereign
P-DJ-EAZ-001,Djibouti - Water harvesting for water supply and agriculture in rural districts of the Republic of Djibouti,"1,727,921.50",Djibouti,29 Jan 2008,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-LR-E00-001,Liberia - Study for the expansion of Monrovia water supply and sanitation system and rehabilitation of water supplies of three (3) county capitals,"1,308,296.06",Liberia,17 Jan 2008,Completion,,Water Supply & Sanitation,Sovereign
P-CM-HAB-001,"Cameroon - Growth-Oriented Women Enterprises Development Programme
(GOWE)","345,483.94",Cameroon,27 Dec 2007,Cancelled,Fund for African Private Sector Assistance,Finance,Sovereign
P-Z1-HAA-028,Multinational - Shelter-Afrique,"619,263.66",Multinational,27 Dec 2007,Completion,Fund for African Private Sector Assistance,Finance,Sovereign
P-TD-E00-001,INVENTAIRE AEPA RURAL,"413,987.53",Chad,21 Dec 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-CV-FA0-001,"PROJET DE RENFORCEMENT DES CAPACITÉS DE PRODUCTION, TRANSPORT ET DISTRIBUTION SUR L'ÎLE DE SANTIAGO","34,558,932.02",Cape Verde,19 Dec 2007,Completion,,Power,Sovereign
P-GH-ID0-003,Ghana - Gender Responsive Skills and Community Development Project (GRSCDP),"4,448,950.39",Ghana,19 Dec 2007,Completion,,Social,Sovereign
P-CD-FA0-001,Democratic Republic of Congo - Project to rehabilitate and reinforce the Inga hydroelectric power stations and distribution network (PMEDE),"35,700,000.00","Congo, the Democratic Republic of the",18 Dec 2007,Completion,,Power,Sovereign
P-DJ-E00-001,PROJET D'ASSAINISSEMENT DE LA VILLE DE DJIBOUTI,"6,500,000.00",Djibouti,18 Dec 2007,Completion,,Water Supply & Sanitation,Sovereign
P-LR-IZ0-001,Liberia - Labor-Based Public Works Project (LBPWP),"15,240,000.00",Liberia,18 Dec 2007,Completion,,Social,Sovereign
P-GH-AA0-030,Ghana - Northern Rural Growth Programme,"38,220,219.49",Ghana,17 Dec 2007,Completion,,Agriculture and Rural Development,Sovereign
P-KE-IZ0-001,Kenya - Community Empowerment and Institutional Support Project (CEISP),"16,864,790.41",Kenya,17 Dec 2007,Completion,,Social,Sovereign
P-MA-FAC-013,Morocco - Ain Beni Mathar Solar Thermal Power Plant Project (Supplementary Loan),"121,841,300.50",Morocco,17 Dec 2007,Completion,African Development Bank,Power,Sovereign
P-UG-DB0-018,Uganda - Road Sector Support  Project II (Fort Portal – Bundibugyo – Lamia Road),"53,443,671.72",Uganda,17 Dec 2007,Completion,,Transport,Sovereign
,,,,,,,,
P-TZ-FA0-008,Electricity V,"22,879,520.01","Tanzania, United Republic of",14 Dec 2007,Completion,African Development Fund,Power,Sovereign
P-CI-I00-002,PROJET D'APPUI INSTITUTIONNEL MULTISECTORIEL  A LA SORTIE DE CRISE,"20,000,000.00",Côte d'Ivoire,05 Dec 2007,Completion,,Social,Sovereign
P-AO-E00-003,"Angola - Sumbe Water Supply, Sanitation and Institutional Support Project","11,987,648.77",Angola,28 Nov 2007,Completion,,Water Supply & Sanitation,Sovereign
P-GH-F00-003,Ghana - Power System Reinforcement Project,"21,937,596.54",Ghana,28 Nov 2007,Completion,African Development Fund,Power,Sovereign
P-MZ-AAC-001,Integrated Study for Cofamosa Project (Awf),"1,037,349.68",Mozambique,22 Nov 2007,Completion,,Agriculture and Rural Development,Sovereign
P-TZ-EB0-001,Strategic Sanitation Plan,"575,734.63","Tanzania, United Republic of",22 Nov 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-GM-K00-007,Institutional Support Project for Economic Management,"1,400,000.00",Gambia,21 Nov 2007,Completion,,Multi-Sector,Sovereign
P-KE-DB0-018,Kenya - Nairobi-Thika Highway Improvement Project,"119,160,940.07",Kenya,21 Nov 2007,Completion,,Transport,Sovereign
P-KE-E00-005,Kenya - Water services boards support project,"43,602,052.35",Kenya,21 Nov 2007,Completion,,Water Supply & Sanitation,Sovereign
P-MG-A00-001,Madagascar - The Manombo Irrigation Area Rehabilitation Project (PRPIM),"9,354,234.71",Madagascar,21 Nov 2007,Completion,,Agriculture and Rural Development,Sovereign
P-AO-KF0-002,Angola - Financial Management Support Project (PAGEF),"4,352,840.01",Angola,14 Nov 2007,Completion,,Multi-Sector,Sovereign
P-EG-FAA-013,Abu Qir 1300 Mw Steam Power Project,"191,946,166.90",Egypt,14 Nov 2007,Completion,,Power,Sovereign
P-MR-EAZ-004,"Mauritania - Formulation of Integrated water resources management (IWRM) and Land Use Plan, Phase 1","440,164.09",Mauritania,07 Nov 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-EG-AAC-003,Egypt - Comprehensive Study and Project Preparation for The Nubaria and Ismailia Canals,"1,612,651.07",Egypt,18 Oct 2007,Completion,AfricaWater Facility Fund,Agriculture and Rural Development,Sovereign
P-NG-E00-002,Nigeria - Rural Water Suply and Sanitation Sub-Programmes for Yobe and Osun States,"51,000,000.00",Nigeria,10 Oct 2007,Implementation,,Water Supply & Sanitation,Sovereign
P-ML-K00-017,Mali - Decentralization and Regional Economic Development Support Project (PADDER),"3,515,500.03",Mali,26 Sep 2007,Completion,,Multi-Sector,Sovereign
P-GA-D00-001,Gabon - Road Program Phase I (RP1),"200,675,245.85",Gabon,17 Sep 2007,Completion,,Transport,Sovereign
P-TZ-DB0-016,Tanzania - Singida – Babati – Minjingu Road Upgrading Project,"55,394,573.76","Tanzania, United Republic of",17 Sep 2007,Completion,,Transport,Sovereign
P-GA-AAG-002,Gabon - SIAT Gabon Agricultural Expansion Project,"8,028,710.67",Gabon,12 Sep 2007,Completion,African Development Bank,Agriculture and Rural Development,Non Sovereign
P-Z1-GB0-008,Multinational - East African Submarine Cable System (EASSY) Special Purpose Vehicle (SPV) Project,"10,786,042.12",Multinational,12 Sep 2007,Completion,African Development Bank,Communications,Non Sovereign
,,,,,,,,
P-KE-AAZ-002,Kenya - Small-scale Horticulture Development Project (SHDP),"15,219,977.71",Kenya,05 Sep 2007,Completion,African Development Fund,Agriculture and Rural Development,Sovereign
P-MA-DB0-004,Morocco - National Rural Roads Programme II (NRRP2),"36,478,599.22",Morocco,05 Sep 2007,Completion,,Transport,Sovereign
P-TZ-AAZ-002,Tanzania - Agriculture Sector Development Programme - Phase 1,"40,000,000.00","Tanzania, United Republic of",05 Sep 2007,Completion,,Agriculture and Rural Development,Sovereign
P-TZ-IAC-002,Program In Support of The Secondary Education Development Plan,"20,000,000.00","Tanzania, United Republic of",05 Sep 2007,Completion,,Social,Sovereign
P-SN-EAZ-002,MISE EN OEUVRE DU PAGIRE DU SENEGAL,"1,390,918.53",Senegal,31 Aug 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-CF-E00-003,ETUDE AEPA 16 CENTRES,"1,265,911.93",Central African Republic,09 Aug 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-BF-E00-008,"Burkina Faso - Rural Drinking Water Supply and Sanitation Project in the Cascades, West-Central, South-Central and Sahel regions","27,556,698.56",Burkina Faso,24 Jul 2007,Completion,African Development Fund,Water Supply & Sanitation,Sovereign
P-CD-IZ0-002,PROJET D'APPUI A LA REINSERTION SOCIO-ECONOMIQUE POST-CONFLIT,"15,000,000.00","Congo, the Democratic Republic of the",24 Jul 2007,Completion,,Social,Sovereign
P-MU-DB0-011,Mauritius - Grant Review of Outline Planning Schemes for Municipal Council Areas/Land Transport Authority,"600,000.00",Mauritius,24 Jul 2007,Completion,Middle Income Countries Fund,Transport,Sovereign
P-LS-AAZ-001,Lesotho - Emergency food assistance to populations affected by drought,"325,928.24",Lesotho,23 Jul 2007,Completion,Special Relief Funds,Agriculture and Rural Development,Sovereign
P-MG-AAZ-001,AIDE HUMANITAIRE D'URGENCE  AU SUD,"325,928.24",Madagascar,23 Jul 2007,Completion,Special Relief Funds,Agriculture and Rural Development,Sovereign
P-MZ-AAZ-002,Emergency Food Assistance to Populations Affected By Drought,"325,928.24",Mozambique,23 Jul 2007,Completion,Special Relief Funds,Agriculture and Rural Development,Sovereign
P-NG-DB0-005,Nigeria - Rural Access & Mobility Project,"34,106,254.55",Nigeria,18 Jul 2007,Completion,,Transport,Sovereign
P-RW-K00-007,Rwanda - Poverty Reduction Strategy Support Programme - Phase II (PRSSP-II),"33,000,000.00",Rwanda,18 Jul 2007,Completion,African Development Fund,Multi-Sector,Sovereign
P-CG-E00-001,ETUDE  AEPA DE BRAZZAVILLE ET PTE NOIRE,"1,249,185.70",Congo,11 Jul 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-BI-FA0-002,Burundi - The Electricity Infrastructure Rehabilitation and Extension Project,"7,320,000.00",Burundi,05 Jul 2007,Completion,,Power,Sovereign
P-MG-FAB-002,SAHANIVOTRY SMALL HYDRO POWER,"5,019,828.32",Madagascar,05 Jul 2007,Completion,African Development Bank,Power,Non Sovereign
P-Z1-DB0-042,TCHAD- PROGRAMME DE FACILITATION DU TRANSPORT SUR LES CORRIDORS DOUALA-BANGUI/DOUALA N'DJAMENA,"38,000,000.00",Multinational,05 Jul 2007,Completion,African Development Fund,Transport,Sovereign
P-Z1-DB0-043,RCA- PROGRAMME DE FACILITATION DU TRANSPORT SUR LES CORRIDORS DOUALA-BANGUI/DOUALA N'DJAMENA,"27,800,000.00",Multinational,05 Jul 2007,Completion,African Development Fund,Transport,Sovereign
P-Z1-DB0-044,CEMAC -PROGRAMME DE FACILITATION DU TRANSPORT SUR LES CORRIDORS DOUALA/BANGUI,"14,000,000.00",Multinational,05 Jul 2007,Completion,African Development Fund,Transport,Sovereign
,,,,,,,,
P-Z1-DB0-045,Cameroon - Transport Facilitation Programme on the Douala – Bangui Corridors,"45,710,001.57",Multinational,05 Jul 2007,Completion,African Development Fund,Transport,Sovereign
P-UG-FA0-002,Uganda - Bujagali Interconnection Project,"41,415,777.34",Uganda,28 Jun 2007,Completion,,Power,Sovereign
P-ZA-F00-001,South Africa - Eskom Holdings Limited,"376,974,403.44",South Africa,28 Jun 2007,Completion,African Development Bank,Power,Non Sovereign
P-SL-AA0-015,Rural Finance and Community Improvement Programme (RFCIP),"5,950,000.00",Sierra Leone,25 Jun 2007,Completion,International Fund for Agriculture Development,Agriculture and Rural Development,Sovereign
P-MU-EB0-005,Plaines Wilhems Sewerage Project- Stage 1,"14,188,566.83",Mauritius,20 Jun 2007,Completion,,Water Supply & Sanitation,Sovereign
P-BW-AAC-002,Awf-Preparation of Improved Water Control and Management System for Pandamatenga Area,"765,885.52",Botswana,18 Jun 2007,Completion,AfricaWater Facility Fund,Agriculture and Rural Development,Sovereign
P-CF-K00-004,Central African Republic - Economic Reform Support Programme (PARE),"6,500,000.00",Central African Republic,15 Jun 2007,Completion,African Development Fund,Multi-Sector,Sovereign
P-CD-EA0-004,Democratic Republic of Congo - Semi-Urban Drinking Water Supply Project,"70,000,000.00","Congo, the Democratic Republic of the",06 Jun 2007,Completion,,Water Supply & Sanitation,Sovereign
P-Z1-GB0-009,Multinational - Legal Advisory Services for East Africa Submarine Cable System (Eassy) Project,"92,373.19",Multinational,31 May 2007,Completion,Fund for African Private Sector Assistance,Communications,Sovereign
P-Z1-EAZ-006,CHARTE DE L'EAU DU LAC TCHAD,"783,492.09",Multinational,30 May 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-Z1-EAZ-010,ELABORATION DU PLAN D'ACTION STRATEGIQUE DE GESTION DU BASSIN DU CONGO,"1,750,684.02",Multinational,30 May 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-Z1-K00-017,Multinational -Study on the creation of a Regional Economic Community for the General Secretariat of the Arab Maghreb Union,"264,936.82",Multinational,24 May 2007,Completion,Middle Income Countries Fund,Multi-Sector,Sovereign
P-DZ-K00-006,Algeria - Technical Assistance Project to the National Equipment Fund for Development (CNED),"600,000.00",Algeria,22 May 2007,Completion,,Multi-Sector,Sovereign
P-SZ-E00-001,Wss Study On Lavumisa-Nsalitje Corridor,"462,627.00",Eswatini,17 May 2007,Completion,,Water Supply & Sanitation,Sovereign
P-Z1-EAZ-011,AMELIORATION DES CAPACITES DE LA CICOS POUR LA GESTION DE L'INFORMATION SUR LE BASSIN DU CONGO,"319,337.08",Multinational,17 May 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-LS-E00-001,Rwss Strategic Investment Plan,"351,111.85",Lesotho,11 May 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-UG-E00-007,Uganda - Roof Catchment Rainwater Harvesting and Management,"395,998.03",Uganda,09 May 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-MG-BAA-002,Madagascar - Ambatovy Nickel Project,"112,776,019.31",Madagascar,02 May 2007,Implementation,African Development Bank,"Industry, Minning & Quarrying",Non Sovereign
P-UG-FAB-004,Uganda - Bujagali Hydropower Project,"79,524,012.64",Uganda,02 May 2007,Completion,African Development Bank,Power,Non Sovereign
P-ML-AAE-004,Mali - Project in support of the Development of Animal Production in the South-Kayes Area (PADEPA –KS),"14,728,010.19",Mali,18 Apr 2007,Completion,,Agriculture and Rural Development,Sovereign
,,,,,,,,
P-Z1-F00-035,ASSISTANCE A L'OMVG POUR LA REALISATION DE SON PROGRAMME ENERGIE SOUS FORME DE PPP,"521,485.19",Multinational,18 Apr 2007,Cancelled,Fund for African Private Sector Assistance,Power,Sovereign
P-MW-KZ0-003,Malawi - Poverty Reduction Support Loan,"14,890,000.00",Malawi,11 Apr 2007,Completion,African Development Fund,Multi-Sector,Sovereign
P-LS-IA0-002,Lesotho - Education Quality Enhancement Project (Education III),"8,306,792.44",Lesotho,04 Apr 2007,Completion,,Social,Sovereign
P-Z1-F00-030,Multinational - Ghana-Togo-Benin 330 kV electricity interconnection project,"14,056,859.49",Multinational,04 Apr 2007,Completion,African Development Fund,Power,Sovereign
P-Z1-F00-034,Multinational - Ghana-Togo-Benin 330 kV electricity interconnection project,"12,431,229.98",Multinational,04 Apr 2007,Completion,African Development Fund,Power,Sovereign
P-EG-HAB-005,Institutionnal Support to National Bank of Egypt (Mic),"300,000.00",Egypt,31 Mar 2007,Completion,Middle Income Countries Fund,Finance,Sovereign
P-MU-K00-002,Mauritius - Development Budget Support Loan for The Economic Reform Program,"21,415,722.00",Mauritius,28 Mar 2007,Completion,African Development Bank,Multi-Sector,Sovereign
P-ET-KZ0-002,Humanitarian Flood-Relief Assistance,"325,928.24",Ethiopia,22 Mar 2007,Completion,Special Relief Funds,Multi-Sector,Sovereign
P-SD-KA0-001,Sudan - Institutional Capacity Building for Good Governance and Poverty Reduction,"9,620,000.00",Sudan,07 Mar 2007,Completion,,Multi-Sector,Sovereign
P-MR-IE0-004,PROJET DE RENFORCEMENT DES CAPACITES DES ACTEURS DE LA MICROFINANCE (PRECAMF),"5,445,828.30",Mauritania,02 Mar 2007,Completion,,Social,Sovereign
P-MZ-AA0-026,Mozambique - Massingir Dam and Smallholder Agricultural Rehabilitation Project Supplementary Loan,"16,847,673.88",Mozambique,02 Mar 2007,Completion,,Agriculture and Rural Development,Sovereign
P-BW-KA0-001,Support for Fast Tracking The Implementation of Vision 2016,"245,653.32",Botswana,01 Mar 2007,Completion,,Multi-Sector,Sovereign
P-BW-KF0-001,Botswana- Development of a Corporate Governance Code,"151,565.00",Botswana,01 Mar 2007,Completion,,Multi-Sector,Sovereign
P-BW-AA0-006,MIC Fund - Capacity Building to The Ministry of Agriculture,"208,306.64",Botswana,27 Feb 2007,Completion,,Agriculture and Rural Development,Sovereign
P-NE-EA0-007,"PROJET D'AEPA EN MILIEU RURAL DANS LES REGIONS DE MARADI,TAHOUA ET TILLABERI","12,783,554.44",Niger,21 Feb 2007,Completion,,Water Supply & Sanitation,Sovereign
P-BW-AAZ-001,MIC Fund - Agriculture Sector Review,"302,476.19",Botswana,16 Feb 2007,Completion,,Agriculture and Rural Development,Sovereign
P-UG-AB0-001,Uganda - Community Agricultural Infrastructure Improvement Programme - Project 1 (CAIIP-P1),"28,424,955.84",Uganda,31 Jan 2007,Completion,,Agriculture and Rural Development,Sovereign
P-Z1-EAZ-008,"Multinational - Support for Mapping, Assessment and Managment of Transboundary Water Resources in the Inter Governmental Authority for Development (IGAD) Sub-Region","1,612,409.11",Multinational,09 Jan 2007,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-Z1-EAZ-003,GEO AQUIFER PROJECT BY SSO,"429,424.09",Multinational,26 Dec 2006,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-CM-E00-004,Cameroon - Rural Water Supply and Sanitation Infrastructure Inventory Project,"264,095.81",Cameroon,22 Dec 2006,Cancelled,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
,,,,,,,,
P-NA-EAZ-001,Development of Integrated Water Resources Management Plan,"438,579.50",Namibia,22 Dec 2006,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-RW-EAZ-001,Rwanda - Pilot project for the introduction of rainwater harvesting and use techniques in Bugesera,"396,147.68",Rwanda,22 Dec 2006,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-SN-EB0-002,Senegal - Ziguinchor sanitation master plan study,"823,106.85",Senegal,22 Dec 2006,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-Z1-EAZ-004,Multinational - Support to the development of the African Network of Basin Organisations (ANBO),"266,607.39",Multinational,22 Dec 2006,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-MZ-E00-005,National Rural Water and Sanitation Progam Awf Funding,"427,654.76",Mozambique,21 Dec 2006,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-UG-E00-006,"Uganda - Implementation of Integrated Project of Water Supply and Sanitation Services for the urban poor in Kagugube Parish, Kampala","704,262.55",Uganda,21 Dec 2006,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-CG-K00-007,Republic of Congo - Expenditure Circuit and Poverty Indicators Improvement Support Project (PACDIP),"2,447,138.92",Congo,20 Dec 2006,Completion,,Multi-Sector,Sovereign
P-ET-FA0-006,Rural Electrification Project II,"86,527,633.72",Ethiopia,20 Dec 2006,Completion,,Power,Sovereign
P-ET-K00-007,Protection Basic Services Programme,"78,490,000.00",Ethiopia,20 Dec 2006,Completion,,Multi-Sector,Sovereign
P-UG-DB0-019,Uganda - Road Sector Support Project (Supplementary Loan),"32,913,805.28",Uganda,20 Dec 2006,Completion,,Transport,Sovereign
P-Z1-IAH-001,Multinational - Support to Capacity Building for Open and Distance Learning (ODL),"15,000,000.00",Multinational,20 Dec 2006,Completion,African Development Fund,Social,Sovereign
P-Z1-K00-016,Multinational - Support Program for Regional Technical Assistance Centers in Africa (AFRITAC-II),"2,934,381.32",Multinational,20 Dec 2006,Completion,,Multi-Sector,Sovereign
P-KE-E00-006,Kenya - Kisumu District Primary Schools Water and Sanitation Project,"201,248.31",Kenya,19 Dec 2006,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-ET-DB0-011,Ethiopia - Jima-Mizan Road Upgrading Project,"55,754,267.53",Ethiopia,13 Dec 2006,Completion,,Transport,Sovereign
P-NG-HAB-006,Nigeria - Second Line of Credit to Zenith Bank PLC,"64,698,537.17",Nigeria,13 Dec 2006,Completion,African Development Bank,Finance,Non Sovereign
P-NG-HAB-007,Line of Credit to Access Bank Plc - Nigeria,"25,075,046.03",Nigeria,13 Dec 2006,Completion,African Development Bank,Finance,Non Sovereign
P-Z1-DB0-038,Lot T Tanzania-Kenya: Arusha- Namanga-Athi River Road Development Project,"49,523,308.97",Multinational,13 Dec 2006,Completion,,Transport,Sovereign
P-Z1-DB0-040,Multinational - Lot K Tanzania-Kenya: Arusha - Namanga-Athi River Road Development Project,"46,588,019.94",Multinational,13 Dec 2006,Completion,African Development Fund,Transport,Sovereign
P-DJ-AZ0-001,LUTTE CONTRE LA GRIPPE AVIAIRE,"325,928.24",Djibouti,12 Dec 2006,Completion,Special Relief Funds,Agriculture and Rural Development,Sovereign
P-CM-KA0-005,Cameroon - Governance Reform Support Program (PARG),"24,918,293.59",Cameroon,04 Dec 2006,Completion,African Development Fund,Multi-Sector,Sovereign
,,,,,,,,
P-CM-KA0-007,APPUI INSTITUTIONNEL AUX REFORMES EN MATIERE DE GOUVERANCE (PARG),"1,411,173.61",Cameroon,04 Dec 2006,Completion,,Multi-Sector,Sovereign
P-LS-DB0-010,Likalaneng- Thaba Tseka Road Upgrading Project(Supplementary Loan),"3,599,314.33",Lesotho,04 Dec 2006,Completion,,Transport,Sovereign
P-Z1-DB0-029,Multinational - Labe-Seriba-Medina Gounass-Tambacounda Road Upgrading and Conakry-Dakar Corridor Transport Facilitation Program,"55,997,776.14",Multinational,04 Dec 2006,Completion,,Transport,Sovereign
P-Z1-KZ0-010,Multinational - Project to support the reform of public procurement systems in the WAEMU region - Phase II,"4,000,000.00",Multinational,04 Dec 2006,Completion,African Development Fund,Multi-Sector,Sovereign
P-Z1-DB0-028,Botswana/Zambia - Sadc North-South Corridor Improvement Study,"1,992,764.48",Multinational,01 Dec 2006,Completion,,Transport,Sovereign
P-Z1-DB0-041,Multinational - SADC Technical Assistance - Transport,"350,000.00",Multinational,01 Dec 2006,Completion,African Development Fund,Transport,Sovereign
P-NE-K00-008,Niger - Decentralization Support Project (PAD),"2,409,222.65",Niger,29 Nov 2006,Completion,African Development Fund,Multi-Sector,Sovereign
P-Z1-AA0-075,Multinational - Support Project for the Cotton-Textile Subsector (PAFICOT)-WAEMU,"2,000,000.00",Multinational,29 Nov 2006,Completion,African Development Fund,Agriculture and Rural Development,Sovereign
P-Z1-AA0-090,Multinational - Promotion of Science and Technology for Agricultural Development in Africa- Fara,"15,581,000.00",Multinational,29 Nov 2006,Completion,African Development Fund,Agriculture and Rural Development,Sovereign
P-Z1-AA0-092,Chad - Support Project for the Cotton/textile sector in the four countries of the Cotton Initiative,"5,000,000.00",Multinational,29 Nov 2006,Completion,,Agriculture and Rural Development,Sovereign
P-Z1-AA0-093,Benin - Support Project for the Cotton/textile sector in the four countries of the Cotton Initiative,"7,531,312.61",Multinational,29 Nov 2006,Completion,,Agriculture and Rural Development,Sovereign
P-Z1-AA0-094,Burkina Faso - Support Project for the Cotton/textile sector in the four countries of the Cotton Initiative,"9,555,072.57",Multinational,29 Nov 2006,Completion,,Agriculture and Rural Development,Sovereign
P-Z1-AA0-095,Mali - Support Project for the Cotton/textile sector in the four countries of the Cotton Initiative,"8,475,652.70",Multinational,29 Nov 2006,Completion,,Agriculture and Rural Development,Sovereign
P-Z1-DZ0-004,East Africa Trade & Transport (Ncttca),"2,000,000.00",Multinational,29 Nov 2006,Completion,African Development Fund,Transport,Sovereign
P-Z1-DZ0-005,East Africa Trade & Transport (Ttfa),"999,774.42",Multinational,29 Nov 2006,Completion,African Development Fund,Transport,Sovereign
P-Z1-DZ0-003,Multinational - East Africa Trade and Transport Facilitation Project,"6,200,000.00",Multinational,29 Nov 2006,Completion,African Development Fund,Transport,Sovereign
P-ZM-K00-002,Zambia - Poverty Reduction Budget Support (PRBS I),"20,000,000.00",Zambia,29 Nov 2006,Completion,African Development Fund,Multi-Sector,Sovereign
P-SZ-KA0-001,Institutional Support to Establish The Swaziland Revenue Authority (Sra),"492,677.00",Eswatini,28 Nov 2006,Completion,,Multi-Sector,Sovereign
P-CV-K00-004,Cape Verde - Poverty Reduction Strategy Budget Support Program I (PRSSP I),"4,115,259.63",Cape Verde,21 Nov 2006,Completion,,Multi-Sector,Sovereign
P-EG-AZ0-004,Emergency Assistance Avian Infuenza,"325,928.24",Egypt,20 Nov 2006,Completion,Special Relief Funds,Agriculture and Rural Development,Sovereign
,,,,,,,,
P-CM-DB0-009,Cameroon - Numba-Bachuo Akagbe Road Development Project,"40,466,923.86",Cameroon,15 Nov 2006,Completion,,Transport,Sovereign
P-GM-IE0-003,Gambia - Entrepreneurship Promotion and Microfinance Development Project,"8,000,000.00",Gambia,15 Nov 2006,Completion,,Social,Sovereign
P-MR-EA0-005,Mauritania - Rural drinking water supply and sanitation in the South,"7,882,750.87",Mauritania,15 Nov 2006,Completion,,Water Supply & Sanitation,Sovereign
P-BI-KA0-002,Burundi - Economic Reform Support Programme I (ERSP I),"7,300,000.00",Burundi,08 Nov 2006,Completion,African Development Fund,Multi-Sector,Sovereign
P-UG-IB0-003,Uganda - Support to Health Sector Strategic Plan Project II (SHSSP II),"19,879,942.63",Uganda,08 Nov 2006,Completion,,Social,Sovereign
P-ZM-E00-009,Zambia - National Rural Water Supply and Sanitation Program,"13,964,448.99",Zambia,31 Oct 2006,Completion,,Water Supply & Sanitation,Sovereign
P-BF-K00-014,PROJET D'APPUI AUX INSTITUTIONS CHARGEES DE LA GESTION DES RESSOURCES PUBLIQUES,"2,460,000.00",Burkina Faso,27 Oct 2006,Completion,,Multi-Sector,Sovereign
P-LR-K00-003,"Liberia - Institutional Support Project for Governance, Economic Management and
Poverty Reduction","2,881,937.13",Liberia,27 Oct 2006,Completion,,Multi-Sector,Sovereign
P-MZ-DB0-007,Mozambique - Montepuez-Lichinga Road Project,"51,975,379.27",Mozambique,27 Oct 2006,Implementation,,Transport,Sovereign
P-MZ-K00-004,Mozambique - Poverty Reduction Support Loan (PRSL I),"60,000,000.00",Mozambique,27 Oct 2006,Completion,African Development Fund,Multi-Sector,Sovereign
